url,tr,cl,jn,st,mc,state
https://www.documentcloud.org/documents/3173866-Elway-Poll-102416.html ,31,48,1,1,0,Washington
https://www.scribd.com/document/328596670/CBS-News-Battleground-Tracker-Texas-Oct-23-2016#from_embed ,46,43,5,1,0,Texas
https://www.scribd.com/document/328596671/CBS-News-Battleground-Tracker-Florida-Oct-23-2016#from_embed ,43,46,3,2,0,Florida
http://mrgmi.com/2016/10/michigan-poll-trump-trails-clinton-by-five-percent/ ,36,41,7,3,0,Michigan
http://www.realclearpolitics.com/docs/2016/Remington_Research_South_Dakota_October_22nd_2016.pdf ,48,37,6,0,0,South Dakota
http://wishtv.com/2016/10/20/hoosier-survey-trump-leads-in-indiana-pence-helps/ ,43,37,9,0,0,Indiana
http://mprc.me/research/1016_presidential2.pdf ,36,42,9,4,0,Maine
http://opinionsavvy.com/2016/10/21/poll-clinton-increases-lead-in-florida/ ,45,49,3,2,0,Florida
http://www.realclearpolitics.com/docs/2016/Landmark_Statewide_Poll_of_Georgia_10.21_.16_.pdf ,47,43,5,0,0,Georgia
http://politics.blog.ajc.com/2016/10/21/ajc-poll-trump-and-clinton-deadlocked-georgia/ ,44,42,9,0,0,Georgia
http://opinionsavvy.com/wp-content/uploads/2016/10/OS-GA-General-10.20.16.pdf ,50,46,3,0,0,Georgia
http://cnu.edu/cpp/pdf/oct%2021%202016%20report-final.pdf ,33,45,8,1,0,Virginia
http://www.ksla.com/story/33437911/exclusive-poll-trump-holds-strong-lead-over-clinton-in-louisiana ,54,34,2,1,0,Louisiana
http://www.suffolk.edu/documents/SUPRC/10_20_2016_marginals.pdf ,45,45,2,1,0,Ohio
http://www.kgw.com/news/politics/elections/kgworegonian-poll-measure-97-a-virtual-tie-clinton-brown-lead/337615312 ,36,46,5,5,0,Oregon
http://utahpolicy.com/index.php/features/today-at-utah-policy/11183-trump-leads-mcmullin-by-one-point-among-likely-utah-voters ,30,25,5,1,29,Utah
http://www.realclearpolitics.com/docs/2016/FOX_2_Detroit-Mitchell_Poll_of_MI_Press_Clinton_v_Trump_10-19-16_Final.pdf ,38,51,6,2,0,Michigan
http://www.surveyusa.com/client/PollReport.aspx?g=ce17282d-d070-493a-8bcd-ee02ca9016e6 ,44,46,6,0,0,North Carolina
https://www.nccivitas.org/wp-content/uploads/2016/10/CivitasOctoberPoll_release.pdf ,43,45,5,0,0,North Carolina
http://media.wix.com/ugd/3bebb2_98fe8b3559f64960a573ecad7dc22ec9.pdf ,41,45,4,4,0,Pennsylvania
https://cola.unh.edu/sites/cola.unh.edu/files/research_publications/gsp2016_fall_preselec101916.pdf ,34,49,8,2,0,New Hampshire
http://www.azcentral.com/story/news/politics/elections/2016/10/19/arizona-poll-hillary-clinton-donald-trump/92339110/ ,38,43,7,4,0,Arizona
https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_WI_101916/ ,40,47,6,1,0,Wisconsin
https://www.siena.edu/assets/files/news/SNY_October_2016_Poll_Release_--_FINAL1853.pdf ,30,54,5,4,0,New York
http://ksn.com/2016/10/18/ksn-news-poll-continues-to-show-strong-support-for-trump-in-kansas/ ,47,36,7,2,0,Kansas
http://digital.vpr.net/post/vpr-poll-overall-results-full-data ,17,45,4,3,0,Vermont
http://www.snc.edu/sri/docs/2016/201610_Fall_WI_Survey_President_Release.pdf ,39,47,1,3,0,Wisconsin
http://www.opb.org/news/series/election-2016/hillary-clinton-kate-brown-lead-in-new-opb-poll/ ,36,43,7,5,0,Oregon
http://magellanstrategies.com/magellan-strategies-colorado-survey-2016/ ,35,40,1,5,0,Colorado
https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_NV_101816/ ,40,47,7,0,0,Nevada
http://www.uh.edu/class/hobby/texas2016/ ,41,38,4,1,0,Texas
http://view2.fdu.edu/publicmind/2016/161018/ ,40,51,0,0,0,New Jersey
http://www.wbur.org/politicker/2016/10/18/poll-clinton-trump-massachusetts ,28,54,7,3,0,Massachusetts
http://i2.cdn.turner.com/cnn/2016/images/10/17/link.1..pdf ,47,48,4,0,0,North Carolina
https://www.qu.edu/images/polling/ps/ps10172016_Sub62fgv.pdf ,45,45,6,1,0,Ohio
http://i2.cdn.turner.com/cnn/2016/images/10/17/link.3..pdf ,48,44,4,2,0,Ohio
http://i2.cdn.turner.com/cnn/2016/images/10/17/link.2..pdf ,44,46,7,0,0,Nevada
http://winwithjmc.com/wp-content/uploads/2016/10/Fleming-Executive-Summary-Poll-3-RELEASE.pdf ,45,38,4,1,0,Louisiana
http://www.surveyusa.com/client/PollReport.aspx?g=2fc82f11-ee2e-4d25-b88d-805a1a9a3ae8 ,30,56,4,2,0,California
http://idahopoliticsweekly.com/politics/1277-poll-clinton-gaining-on-trump-in-idaho ,40,30,1,3,0,Idaho
http://www.rasmussenreports.com/platinum/election_2016_state_polls/crosstabs_election_2016_utah_president_october_14_16_2016 ,30,28,5,1,29,Utah
http://www.realclearpolitics.com/docs/2016/Gravis_Colorado_October_13_2016.pdf ,42,46,2,1,0,Florida
https://www.scribd.com/document/327758568/CBS-News-Battleground-Tracker-Nevada-Oct-16#from_embed ,40,46,4,0,0,Nevada
http://missoulian.com/news/government-and-politics/trump-leads-in-montana-but-voters-aren-t-that-fond/article_09de91e3-c013-5e70-b82e-252fff748260.html ,46,36,1,0,0,Montana
http://cnu.edu/cpp/pdf/oct%2016%202016%20report-final.pdf ,29,44,1,2,0,Virginia
https://www.scribd.com/document/327758570/CBS-News-Battleground-Tracker-Utah-Oct-16#from_embed ,37,20,7,1,20,Utah
http://www.lasvegasnow.com/news/nvdebate-tight-race-between-clinton-and-trump ,41,43,4,0,0,Nevada
http://www.wbur.org/politicker/2016/10/14/poll-trump-clinton-new-hampshire ,38,41,1,3,0,New Hampshire
http://www.publicpolicypolling.com/pdf/2015/PPP_Release_FL_104161.pdf ,42,46,5,1,0,Florida
http://www.monmouth.edu/polling-institute/reports/MonmouthPoll_IN_101416/ ,45,41,9,0,0,Indiana
http://www.surveyusa.com/client/PollReport.aspx?g=088d0066-02dc-4faa-affe-a321d1390f73 ,38,48,6,4,0,Oregon
http://www.wfaa.com/news/local/texas-news/new-poll-trump-lead-shrinks-in-texas-within-margin-of-error/335896258 ,47,43,3,1,0,Texas
http://www.nbcnews.com/politics/first-read/poll-clinton-ahead-north-carolina-virtual-tie-ohio-n665981 ,42,41,9,4,0,Ohio
